X,Y,Complain_Number,Time,Day,Main_Street,Second_Street,Quadrant,On_Street,Latitude,Longitude,Type,Injured,Vehicles,Bikes,Fatalities,GeocodeError,FID
-77.01682687,38.91111992,12017024,2012-02-04T02:40:00.000Z,Fri,NEW JERSEY AVE,Q ST,NW,At Intersect,38.91112,-77.016827,Right Angle,1,2,1,0,,34
-76.99496076,38.89890813,12018148,2012-02-06T14:23:00.000Z,Mon,EIGHTH ST,G ST,NE,At Intersect,38.898908,-76.994961,Right Angle,1,2,1,0,,35
-77.00905107,38.90963861,12018559,2012-02-07T11:10:00.000Z,Tue,NORTH CAPITOL ST,P ST,BN,At Intersect,38.909639,-77.009051,Straight Hit Ped.,1,2,1,0,,36
-77.0270473,38.90416678,12018613,2012-02-07T14:44:00.000Z,Tue,L ST,ELEVENTH ST,NW,Not at Inter,38.904167,-77.027047,Left Turn Hit Veh.,1,2,1,0,,37
-77.01214161,38.88603185,12018820,2012-02-07T22:15:00.000Z,Tue,WASHINGTON AVE,C ST,SW,Within 100ft,38.886032,-77.012142,Right Turn Hit Ped.,1,1,1,0,,38
-77.0297073,38.92674212,12019098,2012-02-08T14:01:00.000Z,Wed,THIRTEENTH ST,HARVARD ST,NW,Within 100ft,38.926742,-77.029707,Right Angle,1,2,1,0,,39
-77.01629523,38.90964253,12019366,2012-02-09T01:00:00.000Z,Wed,P ST,NEW JERSEY AVE,NW,Not at Inter,38.909643,-77.016295,Rear End,0,2,1,0,,40
-77.01590805,38.90857411,12019542,2012-02-09T11:45:00.000Z,Thu,NEW JERSEY AVE,O ST,NW,At Intersect,38.908574,-77.015908,Right Angle,1,2,1,0,,41
-77.04342358,38.91557342,12022196,2012-02-15T02:20:00.000Z,Tue,NINTEENTH ST,T ST,NW,At Intersect,38.915573,-77.043424,Head On,1,3,1,0,,42
-77.01618009,38.89613235,12022424,2012-02-15T16:25:00.000Z,Wed,E ST,FOURTH ST,NW,Not at Inter,38.896132,-77.01618,Rear End,0,2,1,0,,43
-77.02191502,38.90210169,12022470,2012-02-15T18:50:00.000Z,Wed,SEVENTH ST,K ST,NW,At Intersect,38.902102,-77.021915,Right Angle,0,2,1,0,,44
-77.03193034,38.92166012,12023065,2012-02-17T00:40:00.000Z,Thu,FOURTEENTH ST,CHAPIN ST,NW,Within 100ft,38.92166,-77.03193,Right Angle,1,1,1,0,,45
-77.06281147,38.90517696,12023975,2012-02-18T19:40:00.000Z,Sat,M ST,WISCONSIN AVE,NW,Not at Inter,38.905177,-77.062811,Straight Hit Ped.,1,1,1,0,,46
-77.05701191,38.90523231,12024905,2012-02-21T00:00:00.000Z,Mon,M ST,TWENTY EIGHTH ST,NW,At Intersect,38.905232,-77.057012,Right Angle,1,2,1,0,,47
-76.96819474,38.85890656,12025853,2012-02-23T00:32:00.000Z,Wed,ALABAMA AVE,NAYLOR RD,SE,At Intersect,38.858907,-76.968195,Rear End,1,2,1,0,,48
-77.03214344,38.92376377,12026012,2012-02-23T10:20:00.000Z,Thu,FOURTEENTH ST,EUCLID ST,NW,Within 100ft,38.923764,-77.032143,Straight Hit Ped.,1,1,1,0,,49
-77.0384796,38.91409133,12026120,2012-02-23T16:00:00.000Z,Thu,S ST,SEVENTEENTH ST,NW,Within 100ft,38.914091,-77.03848,Parked Vehicle,1,2,1,0,,50
-77.02962137,38.91699928,12026135,2012-02-23T17:32:00.000Z,Thu,U ST,THIRTEENTH ST,NW,Within 100ft,38.916999,-77.029621,Side Swiped,1,2,1,0,,51
-77.00918587,38.90789443,12026231,2012-02-23T20:59:00.000Z,Thu,HANOVER PL,NORTH CAPITOL ST,BN,At Intersect,38.907894,-77.009186,Rear End,1,2,2,0,,52
-77.01620393,38.89978889,12026529,2012-02-24T13:48:00.000Z,Fri,FOURTH ST,H ST,NW,Not at Inter,38.899789,-77.016204,Other,1,2,1,0,,53
-77.03194927,38.9088381,12026759,2012-02-24T22:55:00.000Z,Fri,FOURTEENTH ST,RHODE ISLAND AVE,NW,Within 100ft,38.908838,-77.031949,Side Swiped,1,2,1,0,,54
-77.01628889,38.97501677,12028145,2012-02-27T23:15:00.000Z,Mon,CARROLL ST,CEDAR ST,NW,At Intersect,38.975017,-77.016289,Right Turn Hit Ped.,1,2,1,0,,55
-77.02703671,38.91699963,12028393,2012-02-28T13:43:00.000Z,Tue,ELEVENTH ST,U ST,NW,At Intersect,38.917,-77.027037,Head On,1,2,1,0,,56
-77.03645756,38.93045055,12029321,2012-03-01T13:00:00.000Z,Thu,SIXTEENTH ST,LAMONT ST,NW,At Intersect,38.930451,-77.036458,Side Swiped,1,2,1,0,,57
-77.02703801,38.92376696,12029481,2012-03-01T13:45:00.000Z,Thu,ELEVENTH ST,EUCLID ST,NW,Within 100ft,38.923767,-77.027038,Right Turn Hit Veh.,1,2,1,0,,58
-77.02705351,38.89473689,12029583,2012-03-01T23:35:00.000Z,Thu,PENNSYLVANIA AVE,ELEVENTH ST,NW,Not at Inter,38.894737,-77.027054,Left Turn Hit Veh.,1,2,1,0,,59
-77.02072315,38.92009988,12030545,2012-03-04T01:17:00.000Z,Sat,SIXTH ST,BRYANT ST,NW,At Intersect,38.9201,-77.020723,Head On,1,2,1,0,,60
-76.98830962,38.90132,12030566,2012-03-04T01:11:00.000Z,Sat,THIRTEENTH ST,I ST,NE,At Intersect,38.90132,-76.98831,Other,1,2,1,0,,61
-76.97963795,38.85730417,12030876,2012-03-04T18:53:00.000Z,Sun,SEVENTEENTH PL,ERIE ST,SE,Within 100ft,38.857304,-76.979638,VENTEENTH PL ERIE ST,0,2,1,0,,62
-77.01892766,38.90252149,12031218,2012-03-05T18:40:00.000Z,Mon,FIFTH ST,K ST,NW,Within 100ft,38.902521,-77.018928,Side Swiped,1,2,1,0,,63
-76.99152694,38.90251199,12031372,2012-03-06T01:07:00.000Z,Mon,K ST,ELEVENTH ST,NE,Not at Inter,38.902512,-76.991527,Side Swiped,0,2,1,0,,64
-77.04663532,38.90963991,12031881,2012-03-07T02:14:00.000Z,Tue,P ST,TWENTY FIRST ST,NW,Within 100ft,38.90964,-77.046635,Side Swiped,1,2,1,0,,65
-76.98512841,38.86677537,12031991,2012-03-07T12:40:00.000Z,Wed,GOOD HOPE RD,FOURTEENTH ST,SE,At Intersect,38.866775,-76.985128,Right Angle,1,2,1,0,,66
-77.04343566,38.91588843,12032625,2012-03-08T18:01:00.000Z,Thu,NINTEENTH ST,FLORIDA AVE,NW,At Intersect,38.915888,-77.043436,Head On,1,2,1,0,,67
-77.04268424,38.92266111,12033256,2012-03-09T22:20:00.000Z,Fri,EIGHTEENTH ST,COLUMBIA RD,NW,Within 100ft,38.922661,-77.042684,Side Swiped,1,2,1,0,,68
-77.03194856,38.91186824,12033437,2012-03-10T05:02:00.000Z,Sat,FOURTEENTH ST,CORCORAN ST,NW,At Intersect,38.911868,-77.031949,Left Turn Hit Veh.,0,1,1,0,,69
-77.01892882,38.91336133,12033485,2012-03-10T05:40:00.000Z,Sat,FIFTH ST,RHODE ISLAND AVE,NW,At Intersect,38.913361,-77.018929,Other,1,2,1,0,,70
-77.03194952,38.9037376,12034932,2012-03-13T13:31:00.000Z,Tue,FOURTEENTH ST,L ST,NW,Within 100ft,38.903738,-77.03195,Left Turn Hit Veh.,0,2,1,0,,71
-77.02397514,38.8938769,12034937,2012-03-08T14:20:00.000Z,Thu,PENNSYLVANIA AVE,NINTH ST,NW,Within 100ft,38.893877,-77.023975,Left Turn Hit Veh.,1,2,1,0,,72
